row,Period,Năm,Tháng,BU,GEO,Province2,Product,Brand Lv1,Brand Lv2,Price Class,Qty,Revenue
180000,2021-03,2021,3,Phong Vu,Miền Bắc 1,Thai Nguyen,Laptop,MSI,MSI,20M - 25M,4,87236364
180001,2021-03,2021,3,Phong Vu,Miền Bắc 1,Vinh Phuc,Laptop,MSI,MSI,20M - 25M,4,89054544
180002,2021-03,2021,3,Phong Vu,Miền Bắc 2,Hai Duong,Laptop,MSI,MSI,20M - 25M,6,133581819
180003,2021-03,2021,3,Phong Vu,Miền Bắc 2,Ha Nam,Laptop,MSI,MSI,20M - 25M,2,44890910
180004,2021-03,2021,3,Phong Vu,Miền Bắc 2,Ninh Binh,Laptop,MSI,MSI,20M - 25M,6,130800000
180005,2021-03,2021,3,Phong Vu,Miền Bắc 2,Quang Tri,Laptop,MSI,MSI,20M - 25M,6,133581819
180006,2021-03,2021,3,Phong Vu,Miền Trung,Da Nang,Laptop,MSI,MSI,>25M,8,239927272
180007,2021-03,2021,3,Phong Vu,Miền Trung,Dak Lak,Laptop,MSI,MSI,20M - 25M,6,129490908
180008,2021-03,2021,3,Phong Vu,Miền Trung,Quang Nam,Laptop,MSI,MSI,20M - 25M,3,66790908
180009,2021-03,2021,3,Phong Vu,Tây Nam Bộ,An Giang,Laptop,MSI,MSI,20M - 25M,1,22445455
180010,2021-03,2021,3,Phong Vu,Tây Nam Bộ,Can Tho,Laptop,MSI,MSI,20M - 25M,4,89054544
180011,2021-03,2021,3,Phong Vu,Tây Nam Bộ,Long An,Laptop,MSI,MSI,20M - 25M,6,133346286
180012,2021-03,2021,3,Phong Vu,Tây Nam Bộ,Tien Giang,Laptop,MSI,MSI,20M - 25M,6,134672727
180013,2021-03,2021,3,Phong Vu,Tây Nam Bộ,Vinh Long,Laptop,MSI,MSI,>25M,2,46818182
180014,2021-03,2021,3,Phong Vu,Tây Nam Bộ,Vinh Long,Laptop,MSI,MSI,20M - 25M,1,21581818
180015,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Ba Ria - Vung Tau,Laptop,Acer,Acer,10M - 12M,4,38383030
180016,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Ba Ria - Vung Tau,Laptop,Acer,Acer,12M - 14M,3,35154546
180017,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Ba Ria - Vung Tau,Laptop,Acer,Acer,14M - 16M,6,78929452
180018,2021-03,2021,3,CellphoneS,Đông Nam Bộ,Ba Ria - Vung Tau,Laptop,Acer,Acer,8M - 10M,8,67930912
